epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9229,3.23132,3.71945,3.50973,0.01249,0.10064,0.00669,0.0021,3.41618,inf,4.75192,0.000663399,0.000663399,0.000663399
2,119.717,2.47155,1.91466,2.35975,0.30417,0.44957,0.28012,0.07974,2.44756,2.12519,2.33793,0.00131251,0.00131251,0.00131251
3,172.663,2.25144,1.66942,2.09449,0.59976,0.62359,0.61542,0.21046,2.15155,1.62283,2.08311,0.00194402,0.00194402,0.00194402
4,225.081,2.14265,1.5525,1.98257,0.75343,0.69642,0.76074,0.32141,1.92628,1.43527,1.91289,0.0019208,0.0019208,0.0019208
5,277.487,2.07648,1.49189,1.92339,0.64537,0.63095,0.65317,0.26763,1.99823,1.59862,1.8765,0.0018944,0.0018944,0.0018944
6,330.128,2.04235,1.41773,1.87118,0.76914,0.74807,0.81522,0.37456,1.82111,1.41937,1.81596,0.001868,0.001868,0.001868
7,381.952,1.98963,1.35786,1.81607,0.76097,0.72316,0.77514,0.32153,1.99589,1.30033,1.88902,0.0018416,0.0018416,0.0018416
8,434.605,1.9654,1.3164,1.79335,0.79199,0.76847,0.82737,0.37416,1.85337,1.22572,1.85013,0.0018152,0.0018152,0.0018152
9,487.126,1.92557,1.26361,1.75504,0.84904,0.80672,0.8693,0.42373,1.83281,1.17908,1.77963,0.0017888,0.0017888,0.0017888
10,539.524,1.91768,1.2391,1.74015,0.78297,0.75354,0.80307,0.35574,1.8579,1.23932,1.77859,0.0017624,0.0017624,0.0017624
11,592.87,1.86372,1.18952,1.69678,0.86768,0.82903,0.89051,0.43903,1.80466,1.09379,1.73331,0.001736,0.001736,0.001736
12,645.035,1.842,1.16826,1.68559,0.84633,0.83337,0.87796,0.40823,1.86879,1.13735,1.82321,0.0017096,0.0017096,0.0017096
13,697.208,1.82241,1.12185,1.65492,0.88333,0.84585,0.90644,0.47768,1.72567,1.01435,1.67953,0.0016832,0.0016832,0.0016832
