epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.145,3.07145,3.33569,3.30077,0.22502,0.49749,0.17492,0.05849,2.36674,2.95794,2.49983,0.000666199,0.000666199,0.000666199
2,263.24,2.40516,2.1789,2.41123,0.49899,0.57593,0.52869,0.19744,2.13427,2.06665,2.20077,0.00131967,0.00131967,0.00131967
3,390.293,2.28071,2.01006,2.28063,0.53256,0.59833,0.57373,0.22503,2.059,1.89563,2.10268,0.00195994,0.00195994,0.00195994
4,516.335,2.22132,1.88015,2.20714,0.59921,0.60613,0.61592,0.22858,2.0711,2.75802,2.13348,0.0019406,0.0019406,0.0019406
5,642.853,2.15353,1.69191,2.14533,0.46317,0.58886,0.45004,0.14018,2.19668,2.26879,2.1969,0.0019208,0.0019208,0.0019208
6,768.923,2.1119,1.7069,2.09712,0.6155,0.60669,0.60512,0.21,2.17974,1.74538,2.13707,0.001901,0.001901,0.001901
7,895.239,2.06554,1.43487,2.05869,0.62252,0.67665,0.66413,0.2508,2.07627,2.84262,2.09761,0.0018812,0.0018812,0.0018812
8,1021.62,2.02442,1.5592,2.02368,0.7132,0.66913,0.71963,0.30716,1.96583,1.57405,2.00077,0.0018614,0.0018614,0.0018614
9,1147.72,1.98231,1.35538,1.96717,0.75059,0.73148,0.79719,0.34609,1.92085,1.36393,1.96101,0.0018416,0.0018416,0.0018416
10,1274.05,1.97129,1.29271,1.96962,0.68966,0.68552,0.73017,0.31353,1.93705,1.53934,1.98028,0.0018218,0.0018218,0.0018218
11,1400.09,1.96819,1.46886,1.96221,0.76536,0.73315,0.7984,0.35956,1.89545,1.51686,1.94004,0.001802,0.001802,0.001802
12,1525.72,1.9439,1.27037,1.95557,0.71939,0.66602,0.69882,0.29317,1.97918,1.54107,2.01324,0.0017822,0.0017822,0.0017822
13,1651.84,1.91634,1.27179,1.90411,0.80467,0.76462,0.83691,0.39844,1.80671,1.31872,1.86229,0.0017624,0.0017624,0.0017624
14,1777.81,1.87553,1.19599,1.87609,0.82017,0.77298,0.84691,0.40598,1.81395,1.20435,1.85304,0.0017426,0.0017426,0.0017426
15,1903.73,1.87769,1.16258,1.88113,0.83482,0.80669,0.87116,0.41779,1.77084,1.1072,1.82095,0.0017228,0.0017228,0.0017228
16,2030.88,1.89164,1.33532,1.87225,0.79846,0.76435,0.84119,0.40049,1.79826,1.15817,1.8365,0.001703,0.001703,0.001703
17,2157.43,1.86945,1.18903,1.85047,0.79168,0.7805,0.84385,0.40956,1.77476,2.28674,1.80845,0.0016832,0.0016832,0.0016832
18,2283.35,1.83792,1.14534,1.83937,0.84028,0.82359,0.88464,0.44213,1.7186,1.12891,1.79013,0.0016634,0.0016634,0.0016634
19,2408.23,1.8044,1.11468,1.82,0.8502,0.80942,0.8803,0.44422,1.72127,1.10107,1.77578,0.0016436,0.0016436,0.0016436
20,2533.21,1.80372,1.34174,1.81407,0.84132,0.82033,0.88731,0.4507,1.712,1.14192,1.74553,0.0016238,0.0016238,0.0016238
21,2660.02,1.81074,1.31186,1.81704,0.8466,0.80501,0.86921,0.42635,1.74834,1.11651,1.79445,0.001604,0.001604,0.001604
22,2785.94,1.79538,1.1255,1.79789,0.85778,0.82396,0.88857,0.45084,1.72235,1.08931,1.76225,0.0015842,0.0015842,0.0015842
23,2912.58,1.79822,1.144,1.80525,0.84595,0.82909,0.88396,0.42879,1.72071,1.23974,1.7793,0.0015644,0.0015644,0.0015644
24,3038.04,1.78352,1.07402,1.78432,0.8526,0.81811,0.89385,0.4552,1.71078,1.15595,1.75384,0.0015446,0.0015446,0.0015446
25,3162.71,1.76885,1.07762,1.76919,0.8332,0.81978,0.88621,0.4441,1.72396,1.0682,1.75857,0.0015248,0.0015248,0.0015248
26,3288.56,1.77041,1.1132,1.77457,0.8593,0.83528,0.90161,0.46297,1.67369,1.4125,1.71958,0.001505,0.001505,0.001505
27,3413.31,1.75899,1.05516,1.76914,0.86085,0.8312,0.89951,0.46839,1.65955,2.99188,1.7224,0.0014852,0.0014852,0.0014852
28,3538.64,1.73796,1.03712,1.74946,0.88029,0.82758,0.90444,0.48085,1.68235,1.59903,1.73865,0.0014654,0.0014654,0.0014654
29,3664.29,1.75549,1.09495,1.7614,0.89838,0.8571,0.91837,0.48437,1.66527,1.48978,1.72235,0.0014456,0.0014456,0.0014456
30,3790.18,1.73285,1.02154,1.73826,0.88915,0.85822,0.91071,0.48552,1.67993,1.99488,1.71743,0.0014258,0.0014258,0.0014258
31,3915.52,1.73039,1.23657,1.72901,0.8931,0.86267,0.9203,0.49624,1.6519,1.01227,1.69589,0.001406,0.001406,0.001406
32,4042.68,1.70194,1.05203,1.70711,0.87353,0.85877,0.91766,0.49583,1.64327,1.29444,1.68978,0.0013862,0.0013862,0.0013862
33,4169.01,1.72011,1.22503,1.72103,0.86402,0.83896,0.90424,0.48065,1.6535,1.32776,1.69588,0.0013664,0.0013664,0.0013664
34,4294.68,1.68886,0.99199,1.69815,0.90019,0.87465,0.93216,0.50483,1.64327,0.99049,1.69415,0.0013466,0.0013466,0.0013466
35,4420.38,1.67576,0.97306,1.69151,0.91176,0.87214,0.92967,0.51061,1.64103,1.66526,1.7,0.0013268,0.0013268,0.0013268
36,4544.97,1.70214,0.99604,1.69637,0.88204,0.86859,0.92453,0.49198,1.66717,1.14733,1.7032,0.001307,0.001307,0.001307
37,4670.33,1.70102,1.01452,1.70683,0.91027,0.87159,0.9311,0.49923,1.61414,1.47681,1.67841,0.0012872,0.0012872,0.0012872
38,4795.13,1.68441,0.97677,1.69539,0.9156,0.88245,0.93685,0.51043,1.60266,1.26654,1.65154,0.0012674,0.0012674,0.0012674
39,4921.32,1.69268,1.01521,1.6907,0.89874,0.8649,0.91967,0.48998,1.67242,1.28798,1.70734,0.0012476,0.0012476,0.0012476
40,5047.01,1.67558,1.08295,1.68535,0.90249,0.8791,0.932,0.51124,1.6523,1.15989,1.70246,0.0012278,0.0012278,0.0012278
41,5172.08,1.6776,1.22289,1.68313,0.89771,0.87032,0.92812,0.52352,1.60034,1.00315,1.64388,0.001208,0.001208,0.001208
42,5297.1,1.65548,0.9167,1.66316,0.91916,0.88914,0.94097,0.52311,1.60433,0.93753,1.65746,0.0011882,0.0011882,0.0011882
43,5421.41,1.65407,0.92255,1.65684,0.91083,0.88301,0.93708,0.51669,1.62896,0.93086,1.67295,0.0011684,0.0011684,0.0011684
44,5546.72,1.65967,0.95338,1.66322,0.91562,0.88301,0.93722,0.51603,1.65687,0.94023,1.69451,0.0011486,0.0011486,0.0011486
45,5673.75,1.65677,0.93796,1.64932,0.91103,0.88419,0.93798,0.51383,1.62581,1.31076,1.66836,0.0011288,0.0011288,0.0011288
46,5799.84,1.66264,0.98414,1.66509,0.90922,0.87879,0.93317,0.52142,1.62259,1.0747,1.66511,0.001109,0.001109,0.001109
47,5926.3,1.6439,0.90197,1.64171,0.92663,0.90474,0.94893,0.53782,1.58129,0.84635,1.62395,0.0010892,0.0010892,0.0010892
48,6051.35,1.63483,0.91066,1.64336,0.91863,0.87939,0.9402,0.52476,1.60687,1.45065,1.65107,0.0010694,0.0010694,0.0010694
49,6176.52,1.63115,0.90721,1.64566,0.90673,0.88886,0.93896,0.53094,1.59858,0.9178,1.62276,0.0010496,0.0010496,0.0010496
50,6301.35,1.63319,0.90081,1.63953,0.92532,0.90084,0.94588,0.5359,1.59068,0.88318,1.62503,0.0010298,0.0010298,0.0010298
51,6427.03,1.63853,0.89218,1.63894,0.92474,0.90018,0.94973,0.53591,1.59935,1.06261,1.63551,0.00101,0.00101,0.00101
