epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8739,3.11341,3.10626,3.35541,0.33438,0.49019,0.2993,0.08798,2.37717,2.92281,2.40197,0.000665732,0.000665732,0.000665732
2,215.404,2.35819,1.85988,2.26842,0.55362,0.61281,0.56067,0.19996,2.08526,2.09178,2.09377,0.00131921,0.00131921,0.00131921
3,377.288,2.19723,1.65918,2.08741,0.5708,0.61058,0.62395,0.24903,1.99038,1.6399,1.98784,0.00195948,0.00195948,0.00195948
4,476.632,2.12894,1.53998,2.00036,0.67976,0.69534,0.71061,0.28516,2.00372,1.63316,1.954,0.0019406,0.0019406,0.0019406
5,563.399,2.06044,1.4464,1.92721,0.67842,0.68663,0.69855,0.27161,2.01077,1.56051,1.95135,0.0019208,0.0019208,0.0019208
6,664.788,2.00822,1.39983,1.87449,0.77494,0.71198,0.78544,0.35601,1.9025,1.28359,1.8481,0.001901,0.001901,0.001901
7,755.018,1.97537,1.33507,1.84194,0.79852,0.75097,0.82193,0.37377,1.83052,1.32865,1.78586,0.0018812,0.0018812,0.0018812
8,862.519,1.93542,1.28464,1.80048,0.78932,0.76497,0.82836,0.36338,1.89053,1.23428,1.83498,0.0018614,0.0018614,0.0018614
9,949.366,1.91606,1.2576,1.79111,0.75499,0.70501,0.77152,0.31897,1.97434,1.35361,1.85695,0.0018416,0.0018416,0.0018416
10,1036.61,1.89528,1.24252,1.75182,0.77263,0.73092,0.79496,0.34998,1.89927,1.3099,1.80104,0.0018218,0.0018218,0.0018218
11,1128.41,1.85995,1.1734,1.72044,0.76752,0.73478,0.79732,0.34389,1.91602,1.30763,1.81892,0.001802,0.001802,0.001802
12,1267.96,1.86467,1.19851,1.72817,0.82678,0.79276,0.865,0.42161,1.8018,1.19885,1.74293,0.0017822,0.0017822,0.0017822
13,1374.89,1.82387,1.16083,1.6889,0.83401,0.79633,0.87654,0.44554,1.75029,1.10461,1.66652,0.0017624,0.0017624,0.0017624
14,1463.05,1.80024,1.12357,1.68677,0.79739,0.76267,0.83181,0.37661,1.87586,1.24998,1.76945,0.0017426,0.0017426,0.0017426
15,1550.5,1.77704,1.09296,1.64795,0.80793,0.78078,0.85022,0.39625,1.81769,1.15947,1.73111,0.0017228,0.0017228,0.0017228
16,1646.64,1.77887,1.10381,1.65512,0.79544,0.77448,0.83903,0.40943,1.76001,1.35175,1.68397,0.001703,0.001703,0.001703
17,1943.87,1.7623,1.08264,1.64696,0.73756,0.70064,0.75858,0.31749,1.92748,1.38702,1.80406,0.0016832,0.0016832,0.0016832
18,2059.11,1.75071,1.08646,1.62813,0.87407,0.83955,0.91132,0.48717,1.63973,0.97135,1.59126,0.0016634,0.0016634,0.0016634
